启动 RapidOCR (繁体 ch_tra)...
总页数 265，开始逐页转录 (断点续跑, 已存在跳过)...
  [10/265] 已用 39s (跳过 0)
  [20/265] 已用 78s (跳过 0)
  [30/265] 已用 114s (跳过 0)
  [40/265] 已用 150s (跳过 0)
  [50/265] 已用 190s (跳过 0)
  [60/265] 已用 233s (跳过 0)
  [70/265] 已用 270s (跳过 0)
  [80/265] 已用 305s (跳过 0)
  [90/265] 已用 339s (跳过 0)
  [100/265] 已用 373s (跳过 0)
  [110/265] 已用 408s (跳过 0)
  [120/265] 已用 445s (跳过 0)
  [130/265] 已用 480s (跳过 0)
  [140/265] 已用 517s (跳过 0)
  [150/265] 已用 561s (跳过 0)
  [160/265] 已用 604s (跳过 0)
  [170/265] 已用 642s (跳过 0)
  [180/265] 已用 675s (跳过 0)
  [190/265] 已用 705s (跳过 0)
  [200/265] 已用 741s (跳过 0)
  [210/265] 已用 775s (跳过 0)
  [220/265] 已用 811s (跳过 0)
  [230/265] 已用 844s (跳过 0)
  [240/265] 已用 877s (跳过 0)
  [250/265] 已用 911s (跳过 0)
  [260/265] 已用 946s (跳过 0)
完成！共 265 页 (跳过已存在 0 页)，总时 963s。输出: D:/国学命理库/3-Resources/命/紫微斗数全书/transcript/ocr_full\ocr_all.txt
