page,grade,cjk,total,lines,avg_conf,low_conf
1,B 部分可用,109,142,28,0.721,9
2,A 可用正文,285,337,46,0.879,8
3,A 可用正文,267,309,37,0.868,5
4,B 部分可用,185,218,31,0.516,23
5,A 可用正文,460,484,23,0.882,3
6,A 可用正文,402,430,24,0.767,7
7,A 可用正文,458,489,24,0.878,4
8,A 可用正文,391,416,23,0.849,5
9,A 可用正文,375,401,25,0.839,6
10,A 可用正文,411,434,23,0.892,4
11,A 可用正文,434,456,23,0.89,2
12,A 可用正文,431,454,22,0.876,3
13,A 可用正文,416,435,20,0.9,2
14,A 可用正文,386,408,22,0.877,3
15,A 可用正文,349,382,28,0.704,13
16,A 可用正文,388,411,22,0.76,7
17,A 可用正文,401,423,22,0.917,2
18,A 可用正文,409,433,23,0.889,2
19,A 可用正文,398,427,26,0.812,7
20,A 可用正文,412,443,25,0.9,3
21,A 可用正文,438,465,25,0.879,5
22,A 可用正文,343,365,21,0.757,7
23,A 可用正文,359,382,21,0.76,7
24,A 可用正文,409,431,22,0.847,3
25,A 可用正文,420,447,24,0.818,5
26,A 可用正文,381,410,26,0.799,7
27,A 可用正文,445,471,24,0.866,4
28,A 可用正文,386,410,23,0.886,2
29,A 可用正文,367,391,23,0.878,4
30,A 可用正文,370,394,24,0.841,5
31,A 可用正文,333,357,24,0.756,7
32,A 可用正文,347,366,19,0.928,2
33,A 可用正文,408,432,24,0.811,5
34,A 可用正文,358,383,23,0.815,5
35,A 可用正文,353,380,26,0.813,6
36,A 可用正文,326,364,30,0.801,8
37,A 可用正文,253,281,25,0.673,9
38,A 可用正文,203,222,19,0.543,12
39,A 可用正文,398,447,40,0.734,13
40,A 可用正文,380,414,30,0.818,5
41,A 可用正文,347,395,38,0.764,11
42,A 可用正文,369,399,30,0.829,5
43,A 可用正文,427,462,34,0.858,5
44,A 可用正文,352,379,28,0.963,0
45,A 可用正文,336,365,28,0.815,4
46,A 可用正文,294,338,37,0.695,14
47,A 可用正文,278,308,29,0.789,6
48,A 可用正文,413,449,33,0.834,5
49,A 可用正文,260,288,27,0.742,9
50,A 可用正文,335,365,30,0.714,12
51,A 可用正文,404,447,35,0.838,6
52,A 可用正文,346,392,35,0.836,7
53,A 可用正文,294,328,33,0.703,13
54,A 可用正文,251,284,25,0.874,5
55,A 可用正文,301,334,30,0.859,5
56,A 可用正文,325,353,28,0.832,5
57,A 可用正文,345,381,36,0.781,10
58,A 可用正文,345,383,32,0.836,6
59,A 可用正文,393,445,38,0.758,12
60,A 可用正文,303,345,37,0.675,14
61,A 可用正文,330,371,39,0.814,10
62,A 可用正文,250,293,39,0.73,14
63,A 可用正文,243,286,35,0.685,14
64,A 可用正文,355,416,51,0.806,14
65,A 可用正文,241,295,47,0.859,8
66,A 可用正文,310,361,47,0.807,12
67,A 可用正文,334,389,43,0.865,8
68,A 可用正文,308,352,43,0.905,4
69,A 可用正文,321,351,29,0.86,4
70,A 可用正文,339,367,26,0.818,5
71,B 部分可用,101,129,22,0.852,5
72,A 可用正文,213,243,24,0.662,11
73,A 可用正文,329,359,26,0.84,5
74,A 可用正文,278,317,28,0.785,9
75,A 可用正文,202,224,20,0.746,7
76,A 可用正文,308,352,34,0.845,7
77,A 可用正文,219,252,25,0.741,7
78,A 可用正文,307,340,29,0.797,8
79,A 可用正文,224,255,26,0.703,10
80,A 可用正文,296,335,32,0.845,5
81,A 可用正文,305,329,22,0.908,3
82,A 可用正文,270,303,29,0.827,6
83,B 部分可用,187,230,40,0.783,12
84,B 部分可用,128,170,39,0.72,14
85,B 部分可用,193,249,53,0.707,26
86,A 可用正文,225,279,45,0.839,9
87,A 可用正文,208,279,65,0.791,18
88,A 可用正文,305,368,60,0.905,7
89,A 可用正文,298,340,39,0.812,10
90,A 可用正文,332,366,31,0.801,7
91,A 可用正文,344,385,37,0.792,10
92,A 可用正文,280,332,43,0.738,15
93,A 可用正文,345,391,39,0.859,7
94,A 可用正文,292,320,26,0.869,4
95,A 可用正文,283,320,33,0.809,8
96,A 可用正文,346,380,29,0.817,6
97,A 可用正文,271,307,34,0.77,9
98,A 可用正文,282,308,25,0.765,8
99,A 可用正文,310,334,25,0.716,9
100,A 可用正文,234,273,35,0.628,17
101,A 可用正文,307,341,32,0.809,7
102,A 可用正文,322,360,32,0.868,5
103,A 可用正文,299,331,29,0.848,5
104,A 可用正文,314,352,37,0.813,8
105,A 可用正文,261,305,35,0.753,12
106,A 可用正文,334,370,34,0.802,9
107,A 可用正文,337,368,31,0.832,7
108,A 可用正文,305,357,43,0.783,13
109,A 可用正文,304,343,36,0.822,8
110,A 可用正文,267,315,42,0.712,16
111,A 可用正文,272,315,38,0.738,14
112,A 可用正文,278,322,39,0.781,9
113,A 可用正文,302,352,45,0.763,14
114,A 可用正文,326,363,35,0.813,8
115,A 可用正文,276,332,50,0.793,12
116,A 可用正文,374,401,27,0.861,5
117,A 可用正文,320,360,35,0.874,5
118,A 可用正文,286,336,43,0.743,12
119,A 可用正文,308,345,33,0.847,8
120,A 可用正文,298,341,38,0.812,9
121,A 可用正文,267,315,41,0.735,15
122,A 可用正文,323,363,38,0.877,5
123,A 可用正文,297,348,44,0.809,10
124,A 可用正文,288,345,47,0.791,12
125,A 可用正文,356,397,40,0.802,10
126,A 可用正文,310,354,40,0.799,11
127,B 部分可用,105,123,14,0.325,14
128,D 近乎失败,0,0,0,0,0
129,C 低质噪声多,19,149,25,0.913,3
130,B 部分可用,188,205,14,0.792,3
131,A 可用正文,347,370,22,0.839,3
132,A 可用正文,311,345,25,0.777,6
133,A 可用正文,315,336,21,0.913,3
134,A 可用正文,285,306,21,0.866,2
135,A 可用正文,349,370,21,0.921,1
136,A 可用正文,361,381,21,0.93,1
137,A 可用正文,348,369,22,0.924,3
138,A 可用正文,373,404,23,0.897,2
139,A 可用正文,368,387,20,0.88,2
140,A 可用正文,315,341,23,0.815,4
141,A 可用正文,328,357,25,0.785,5
142,A 可用正文,347,376,24,0.844,4
143,A 可用正文,332,361,25,0.784,6
144,A 可用正文,323,349,25,0.835,5
145,A 可用正文,381,403,23,0.928,2
146,A 可用正文,340,364,24,0.808,5
147,A 可用正文,356,380,22,0.819,4
148,A 可用正文,350,378,26,0.763,8
149,A 可用正文,266,302,32,0.755,10
150,A 可用正文,381,403,22,0.931,1
151,A 可用正文,341,364,22,0.888,3
152,A 可用正文,338,361,22,0.882,2
153,A 可用正文,303,337,26,0.78,7
154,A 可用正文,340,378,30,0.765,10
155,A 可用正文,343,368,22,0.89,3
156,A 可用正文,333,356,22,0.891,3
157,A 可用正文,257,292,29,0.561,18
158,A 可用正文,370,393,21,0.916,2
159,A 可用正文,333,356,23,0.736,8
160,A 可用正文,332,363,27,0.78,6
161,A 可用正文,355,385,26,0.807,6
162,A 可用正文,435,464,26,0.825,5
163,A 可用正文,300,336,28,0.693,9
164,A 可用正文,327,354,23,0.891,3
165,A 可用正文,269,313,27,0.835,6
166,A 可用正文,305,348,35,0.879,7
167,A 可用正文,320,344,25,0.887,3
168,A 可用正文,282,310,24,0.872,5
169,A 可用正文,304,331,27,0.82,6
170,A 可用正文,302,327,24,0.853,4
171,A 可用正文,316,344,27,0.878,5
172,A 可用正文,276,302,26,0.865,4
173,B 部分可用,196,221,23,0.686,9
174,A 可用正文,257,301,31,0.755,12
175,B 部分可用,127,156,22,0.665,9
176,A 可用正文,215,237,22,0.768,7
177,B 部分可用,121,150,21,0.67,9
178,B 部分可用,174,201,25,0.772,7
179,B 部分可用,179,203,24,0.705,8
180,B 部分可用,128,154,22,0.689,10
181,B 部分可用,179,209,27,0.644,13
182,B 部分可用,163,187,20,0.656,10
183,B 部分可用,119,147,20,0.669,8
184,B 部分可用,172,201,24,0.773,8
185,B 部分可用,134,161,23,0.736,8
186,B 部分可用,111,143,25,0.597,14
187,B 部分可用,124,145,18,0.665,7
188,C 低质噪声多,23,55,23,0.345,21
189,B 部分可用,113,135,20,0.712,8
190,B 部分可用,80,109,22,0.638,13
191,B 部分可用,175,203,28,0.696,11
192,A 可用正文,277,363,77,0.778,25
193,A 可用正文,335,452,116,0.8,36
194,A 可用正文,314,450,117,0.734,44
195,A 可用正文,400,531,129,0.834,33
196,A 可用正文,322,432,104,0.814,25
197,A 可用正文,358,492,125,0.746,39
198,A 可用正文,379,499,115,0.788,32
199,A 可用正文,335,438,101,0.848,18
200,A 可用正文,387,515,122,0.819,30
201,A 可用正文,342,457,113,0.786,32
202,A 可用正文,328,448,116,0.773,36
203,A 可用正文,340,462,115,0.821,27
204,A 可用正文,234,317,78,0.737,28
205,A 可用正文,294,426,120,0.71,52
206,A 可用正文,308,434,112,0.763,40
207,A 可用正文,313,446,120,0.746,47
208,A 可用正文,341,464,120,0.813,34
209,A 可用正文,252,356,91,0.736,34
210,A 可用正文,296,405,101,0.722,42
211,A 可用正文,261,384,109,0.714,45
212,A 可用正文,355,479,121,0.817,34
213,A 可用正文,280,398,106,0.777,32
214,A 可用正文,316,427,109,0.829,24
215,A 可用正文,345,467,117,0.788,36
216,A 可用正文,331,458,122,0.782,40
217,A 可用正文,325,449,114,0.796,31
218,A 可用正文,353,481,119,0.82,33
219,A 可用正文,315,447,115,0.823,28
220,A 可用正文,335,459,117,0.852,26
221,A 可用正文,342,461,115,0.784,34
222,A 可用正文,313,442,123,0.778,36
223,A 可用正文,315,429,108,0.788,30
224,A 可用正文,320,441,114,0.822,27
225,B 部分可用,171,264,75,0.755,25
226,A 可用正文,299,410,110,0.822,32
227,A 可用正文,343,455,112,0.798,29
228,A 可用正文,326,442,109,0.831,24
229,A 可用正文,367,496,123,0.828,36
230,A 可用正文,325,448,119,0.804,39
231,A 可用正文,345,468,121,0.868,21
232,A 可用正文,314,421,103,0.853,23
233,A 可用正文,325,442,111,0.878,17
234,A 可用正文,349,471,113,0.812,26
235,A 可用正文,354,483,125,0.871,21
236,A 可用正文,313,441,118,0.854,25
237,A 可用正文,354,493,130,0.851,26
238,A 可用正文,317,460,135,0.811,38
239,A 可用正文,314,446,129,0.841,30
240,A 可用正文,285,397,107,0.873,21
241,A 可用正文,328,463,129,0.839,30
242,A 可用正文,314,434,119,0.843,25
243,A 可用正文,319,441,117,0.851,23
244,A 可用正文,283,397,114,0.873,23
245,A 可用正文,374,498,124,0.86,25
246,A 可用正文,281,394,110,0.836,26
247,A 可用正文,321,446,115,0.836,26
248,A 可用正文,265,378,106,0.802,28
249,A 可用正文,393,472,77,0.863,12
250,A 可用正文,401,428,22,0.868,4
251,A 可用正文,407,428,22,0.872,2
252,A 可用正文,376,398,21,0.822,4
253,A 可用正文,385,407,22,0.873,2
254,A 可用正文,404,433,25,0.773,7
255,A 可用正文,413,435,22,0.853,4
256,A 可用正文,347,378,26,0.722,7
257,A 可用正文,385,411,23,0.822,4
258,A 可用正文,415,442,23,0.851,4
259,A 可用正文,284,305,20,0.764,6
260,A 可用正文,405,426,21,0.929,2
261,A 可用正文,397,417,21,0.944,0
262,A 可用正文,370,391,22,0.847,3
263,A 可用正文,377,401,22,0.796,5
264,B 部分可用,192,209,12,0.814,3
265,D 近乎失败,0,7,4,0.429,4
